date,dist,co,no2,o3,so2,ch4,hcho
2018-04-30,q1,0.03651905804872513,5.898750896449201e-05,0.12750932574272156,0,0,0
2018-05-01,q1,0.03576464578509331,5.3163294069236144e-05,0.12875640392303467,0,0,0
2018-05-02,q1,0.037217818200588226,5.091739149065688e-05,0.12705302238464355,0,0,0
2018-05-03,q1,0,0,0.12087864428758621,0,0,0
2018-05-04,q1,0,0,0.12171152234077454,0,0,0
2018-05-05,q1,0.030627457424998283,9.254361793864518e-05,0.12035895884037018,0,0,0
2018-05-06,q1,0.028809700161218643,1.412538313161349e-05,0.12013997882604599,0,0,0
2018-05-07,q1,0.03164505213499069,0,0.11901780962944031,0,0,0
2018-05-08,q1,0,0,0.12244568765163422,0,0,0
2018-05-09,q1,0,0,0.12332617491483688,0.00021768597071059048,0,0
2018-05-10,q1,0.05544038116931915,0,0.12792402505874634,0,0,0
2018-05-11,q1,0.03105713613331318,0,0.12962767481803894,1.0679120350687299e-05,0,0
2018-05-12,q1,0.03393740579485893,0.00013561503146775067,0.12891936302185059,8.879914093995467e-05,0,0
2018-05-13,q1,0,0,0.12093833088874817,0,0,0
2018-05-14,q1,0.03127238526940346,0,0.12535592913627625,0,0,0.00030049271299503744
2018-05-15,q1,0.029315637424588203,0,0.12744854390621185,0,0,0.00044562557013705373
2018-05-16,q1,0.02951706014573574,0,0.1266321986913681,0,0,0.00026044025435112417
2018-05-17,q1,0,0,0.12754374742507935,0.00022612552857026458,0,0.0002717970928642899
2018-05-18,q1,0.0366549976170063,0.0001157034348580055,0.12771570682525635,0.0003838833072222769,0,0.00013307876361068338
2018-05-19,q1,0.037065066397190094,0,0.1265789419412613,0,0,0.0005022570840083063
2018-05-20,q1,0,0,0.12533946335315704,0,0,0
2018-05-21,q1,0.03785204887390137,0.00014787365216761827,0.1297849416732788,0,0,0.000311795505695045
2018-05-22,q1,0,0,0.12465933710336685,0,0,0
2018-05-23,q1,0,0,0.12739038467407227,0.00010120875958818942,0,0.00022926121891941875
2018-05-24,q1,0,0,0.12288399040699005,0,0,0
2018-05-25,q1,0.0341278500854969,0,0.12469978630542755,2.3502379917772487e-05,0,0.0003674983454402536
2018-05-26,q1,0.03155041113495827,0,0.12688733637332916,0,0,0.00038900732761248946
2018-05-27,q1,0.03156733885407448,0,0.12348131090402603,5.134818275109865e-05,0,0.0001826721418183297
2018-05-28,q1,0.033613577485084534,8.137004624586552e-05,0.1287510097026825,0.0003886912891175598,0,0.0002342825900996104
2018-05-29,q1,0,0,0.12540985643863678,0,0,9.206024174090999e-07
2018-05-30,q1,0.030793461948633194,0,0.1265549212694168,0,0,7.89181431173347e-05
2018-05-31,q1,0,0,0.1281764954328537,0.0002173437096644193,0,0.0006100554601289332
2018-06-01,q1,0,0,0.12671363353729248,0,0,0.0007079614442773163
2018-06-02,q1,0,0,0.12196865677833557,0,0,0
2018-06-03,q1,0,0,0.12003479152917862,0,0,0
2018-06-04,q1,0,0,0.11997706443071365,0,0,4.7814442950766534e-05
2018-06-05,q1,0.02824958600103855,0,0.12161081284284592,0.0003937750880140811,0,5.986360338283703e-05
2018-06-06,q1,0.024632113054394722,5.349687853595242e-05,0.1215921938419342,0,0,0.0002107077743858099
2018-06-07,q1,0.024527309462428093,0,0.12228234857320786,0,0,0.00017618325364310294
2018-06-08,q1,0,0,0.12016299366950989,0,0,0
2018-06-09,q1,0,0,0.11895529180765152,0,0,0
2018-06-10,q1,0.027150794863700867,0,0.12008340656757355,0.00012394454097375274,0,3.8340807805070654e-05
2018-06-11,q1,0,0,0,0,0,0
2018-06-12,q1,0,0,0.11875272542238235,0,0,0
2018-06-13,q1,0.02471880055963993,0,0.11854782700538635,0,0,0
2018-06-14,q1,0,0,0,0,0,0
2018-06-15,q1,0,0,0,0,0,0
2018-06-16,q1,0.02519143559038639,3.1286399462260306e-05,0.12037122994661331,0,0,9.261561353923753e-05
2018-06-17,q1,0.023726940155029297,0,0.11885491758584976,0,0,0
2018-06-18,q1,0,0,0.12241008132696152,0,0,0
2018-06-19,q1,0,0,0.12127141654491425,0,0,0
2018-06-20,q1,0.024742491543293,0,0.1209585964679718,0,0,0.00013829657109454274
2018-06-21,q1,0.026074178516864777,0,0.1231251209974289,3.828088301816024e-05,0,9.73125861492008e-05
2018-06-22,q1,0.027651073411107063,7.065066893119365e-05,0.12460020184516907,8.111233182717115e-05,0,5.739820153394248e-06
2018-06-23,q1,0.028570564463734627,0,0.12282802909612656,0,0,0.0001831080880947411
2018-06-24,q1,0,0,0.12454121559858322,0,0,0
2018-06-25,q1,0,0,0.12265939265489578,0.0001461506908526644,0,0.00023485691053792834
2018-06-26,q1,0,0,0.1262761801481247,0,0,0
2018-06-27,q1,0.02458270452916622,0,0.1223675087094307,0.0003409858327358961,0,0.00012888193305116147
2018-06-28,q1,0.03120397962629795,0,0.12088751047849655,0,0,0
2018-06-29,q1,0.02786247618496418,8.403186075156555e-05,0.12344099581241608,0,0,0.00029884756077080965
2018-06-30,q1,0,0,0.11975523084402084,0.0001416223676642403,0,0.00033503907616250217
2018-07-01,q1,0.02460491470992565,0,0.12106331437826157,0,0,5.20843495905865e-05
2018-07-02,q1,0.023866064846515656,0,0.12015452235937119,0.00014449478476308286,0,0.00016940420027822256
2018-07-03,q1,0.020605018362402916,0,0.12039807438850403,0,0,0
2018-07-04,q1,0.021548308432102203,0,0.12163268029689789,0,0,9.734185732668266e-05
2018-07-05,q1,0,0,0.12018883973360062,0,0,0
2018-07-06,q1,0,0,0.1205822303891182,0,0,0
2018-07-07,q1,0.026182524859905243,0,0.1222042366862297,0,0,0.00019529891142155975
2018-07-08,q1,0,0,0.12047544121742249,0,0,0
2018-07-09,q1,0.02306695282459259,0,0.12034905701875687,0,0,0
2018-07-10,q1,0,0,0.12320612370967865,0,0,0
2018-07-11,q1,0.022093448787927628,2.378487988607958e-05,0.12156809866428375,0,0,0.00011998709669569507
2018-07-12,q1,0.023034419864416122,0,0.12038819491863251,0,0,7.18034862075001e-05
2018-07-13,q1,0.027291251346468925,0,0.12011569738388062,0,0,0
2018-07-14,q1,0,0,0.1210029125213623,0,0,0
2018-07-15,q1,0,0,0.11989179998636246,0,0,0
2018-07-16,q1,0,0,0.12005093693733215,0,0,0
2018-07-17,q1,0,0,0.12132737785577774,0,0,5.769003109890036e-05
2018-07-18,q1,0,0,0.12045998126268387,0,0,0
2018-07-19,q1,0,0,0.11970940232276917,0,0,0
2018-07-20,q1,0.026194671168923378,0,0.12004450708627701,0,0,0
2018-07-21,q1,0,0,0.1204875260591507,0,0,0
2018-07-22,q1,0,0,0.11884336173534393,0,0,0.0001563586265547201
2018-07-23,q1,0,0,0.12162041664123535,0,0,0
2018-07-24,q1,0.024584684520959854,3.632707739598118e-05,0.12152725458145142,0,0,0.00019799651636276394
2018-07-25,q1,0,0,0.12300952523946762,0,0,0
2018-07-26,q1,0,0,0.11982322484254837,0,0,0.00019516637257765979
2018-07-27,q1,0,3.470020237728022e-05,0.12124283611774445,0.0003585423110052943,0,0.00015762342081870884
2018-07-28,q1,0,0,0.12123632431030273,0,0,7.071128493407741e-05
2018-07-29,q1,0,0,0.12182734906673431,0,0,0.00019666455045808107
2018-07-30,q1,0,0,0.12238828837871552,0,0,0
2018-07-31,q1,0.0257819052785635,0,0.1222984716296196,0,0,0.0002540886343922466
2018-08-01,q1,0,0,0.1214476004242897,0,0,0.0002827592834364623
2018-08-02,q1,0.024469928815960884,0,0.12157580256462097,0,0,0.00012236462498549372
2018-08-03,q1,0,0,0.1204744502902031,0,0,0
2018-08-04,q1,0.026867646723985672,0,0.12048571556806564,0,0,0.00016118434723466635
2018-08-05,q1,0,0,0.12153774499893188,0,0,0
2018-08-06,q1,0,0,0.1206798106431961,0,0,0.00014114627265371382
2018-08-07,q1,0,0,0.12233207374811172,0,0,0.0001866151433205232
2018-08-08,q1,0,0,0.121839240193367,0,0,0
2018-08-09,q1,0.027584213763475418,0,0.12128958851099014,0,0,0
2018-08-10,q1,0,0,0.11924038827419281,0,0,0
2018-08-11,q1,0,0,0.12076063454151154,0,0,0.00015372157213278115
2018-08-12,q1,0,0,0.12022557109594345,0.00014941301196813583,0,0.00015157046436797827
2018-08-13,q1,0,0,0.12051915377378464,0.0001256506220670417,0,0.00012156331649748608
2018-08-14,q1,0,0,0.12347451597452164,0,0,0
2018-08-15,q1,0,0,0.12360110133886337,0,0,0
2018-08-16,q1,0.028925862163305283,3.5041703085880727e-05,0.12328124791383743,0,0,4.0091217670124024e-05
2018-08-17,q1,0,0,0.12163383513689041,0,0,0
2018-08-18,q1,0,0,0.12276209145784378,0,0,0
2018-08-19,q1,0,5.3488551202462986e-05,0.12221831828355789,0.0007074589957483113,0,3.934301275876351e-05
2018-08-20,q1,0,0,0.12071480602025986,0,0,0
2018-08-21,q1,0.028721222653985023,0,0.12000013887882233,0,0,0.0001646490563871339
2018-08-22,q1,0,0,0.12019209563732147,0,0,0.00020601451979018748
2018-08-23,q1,0,0,0.12269595265388489,3.180901694577187e-05,0,9.881529695121571e-05
2018-08-24,q1,0,0,0.12213636934757233,4.579805681714788e-05,0,0.0002338909253012389
2018-08-25,q1,0,0,0.12393661588430405,0.0001720549480523914,0,0.00020465883426368237
2018-08-26,q1,0,0,0.12224137037992477,0.00035120410029776394,0,0.00025038147578015924
2018-08-27,q1,0,0,0.12241565436124802,0,0,0
2018-08-28,q1,0,3.764144639717415e-05,0.12197352945804596,0,0,0.00026988217723555863
2018-08-29,q1,0.027751214802265167,0,0.12319517135620117,3.828015906037763e-05,0,0.00012460256402846426
